,favorite_count,favorited,id_str,is_quote_status,lang,place,retweet_count,retweeted,text,timestamp_ms
463,0,False,852210415115358208,False,en,"Tuscaloosa, AL",0,False,It's time to wear white and we have just the dress you need! We are in love with this white lace… https://t.co/74nDIzodDM,2017-04-12 17:22:50.924
464,0,False,852210414230413568,False,en,"Oakland, CA",0,False,Damn Charlie Murphy passed!!!,2017-04-12 17:22:50.713
465,0,False,852210416000389120,False,en,"Sterling Heights, MI",0,False,finally shitting at your own house is the best possible feeling don't @ me.,2017-04-12 17:22:51.135
466,0,False,852210416893796352,False,en,"Altoona, IA",0,False,I'm adding classic emo throwbacks to my party playlist just try and stop me,2017-04-12 17:22:51.348
467,0,False,852210416851746816,False,en,"Staten Island, NY",0,False,Always refocus yourself on what's important,2017-04-12 17:22:51.338
468,0,False,852210416046526464,False,en,"Ohio, USA",0,False,".@iHeartRadio Marion staffers #WearBlue for #ChildAbusePreventionMonth.
#StarToday @TheMarionStar @Marion_Kids… https://t.co/WvF8SSUoJZ",2017-04-12 17:22:51.146
469,0,False,852210416755367936,False,en,"Burbank, CA",0,False,@rehsifyar Pretty much!,2017-04-12 17:22:51.315
470,0,False,852210417174761472,True,en,"Nacogdoches, TX",0,False,No. Not a thing. https://t.co/NxOdxy9bH8,2017-04-12 17:22:51.415
471,0,False,852210417795571712,False,en,"Pennsylvania, USA",0,False,If Alonzo Mourning wasn't there .. Ben Carson would still be stuck in the elevator 😩😂,2017-04-12 17:22:51.563
472,0,False,852210419070517248,False,en,"Boardman, OH",0,False,Peter Griffin has #thinkinggrenades I have thinking #jayshotdogs #boardmanohio Still the best.… https://t.co/WNZ8ItdSLX,2017-04-12 17:22:51.867
473,0,False,852210418915430400,False,en,"Ottawa, Ontario",0,False,2 away goals so soon,2017-04-12 17:22:51.830
